 x | F(x)
--------------------
 1.00 | 0.508138
 1.10 | 0.524541
 1.20 | 0.532039
 1.30 | 0.530225
 1.40 | 0.518783
 1.50 | 0.497495
 1.60 | 0.466240
 1.70 | 0.424998
 1.80 | 0.373848
 1.90 | 0.312967
 2.00 | 0.242631
 2.10 | 0.163209
 2.20 | 0.075163
 2.30 | -0.020961
 2.40 | -0.124537
 2.50 | -0.234861
 2.60 | -0.351165
 2.70 | -0.472620
 2.80 | -0.598345
 2.90 | -0.727417
 3.00 | -0.858880
 3.10 | -0.991753
 3.20 | -1.125041
 3.30 | -1.257746
 3.40 | -1.388874
 3.50 | -1.517450
 3.60 | -1.642520
 3.70 | -1.763169
 3.80 | -1.878525
 3.90 | -1.987766
 4.00 | -2.090136
